station,valid,p01m
SBA,9/24/2017 8:53,0
SBA,9/24/2017 9:53,0
SBA,9/24/2017 10:53,0
SBA,9/24/2017 11:53,0
SBA,9/24/2017 12:53,0
SBA,9/24/2017 13:53,0
SBA,9/24/2017 14:53,0
SBA,9/24/2017 15:53,0
SBA,9/24/2017 16:53,0
SBA,9/24/2017 17:53,0
SBA,9/24/2017 18:53,0
SBA,9/24/2017 19:53,0
SBA,9/24/2017 20:53,0
SBA,9/24/2017 21:53,0
SBA,9/24/2017 22:53,0
SBA,9/24/2017 23:53,0
SBA,9/25/2017 0:53,0
SBA,9/25/2017 1:53,0
SBA,9/25/2017 2:53,0
SBA,9/25/2017 3:53,0
SBA,9/25/2017 4:53,0
SBA,9/25/2017 5:53,0
SBA,9/25/2017 6:53,0
SBA,9/25/2017 7:53,0
SBA,9/25/2017 8:53,0
SBA,9/25/2017 9:53,0
SBA,9/25/2017 10:53,0
SBA,9/25/2017 11:53,0
SBA,9/25/2017 12:53,0
SBA,9/25/2017 13:53,0
SBA,9/25/2017 14:53,0
SBA,9/25/2017 15:53,0
SBA,9/25/2017 16:53,0
SBA,9/25/2017 17:53,0
SBA,9/25/2017 18:53,0
SBA,9/25/2017 19:53,0
SBA,9/25/2017 20:53,0
SBA,9/25/2017 21:53,0
SBA,9/25/2017 22:53,0
SBA,9/25/2017 23:53,0
SBA,9/26/2017 0:53,0
SBA,9/26/2017 1:53,0
SBA,9/26/2017 2:53,0
SBA,9/26/2017 3:53,0
SBA,9/26/2017 4:53,0
SBA,9/26/2017 5:53,0
SBA,9/26/2017 6:53,0
SBA,9/26/2017 7:53,0
SBA,9/26/2017 8:53,0
SBA,9/26/2017 9:53,0
SBA,9/26/2017 10:53,0
SBA,9/26/2017 11:53,0
SBA,9/26/2017 12:53,0
SBA,9/26/2017 13:53,0
SBA,9/26/2017 14:53,0
SBA,9/26/2017 15:53,0
SBA,9/26/2017 16:53,0
SBA,9/27/2017 9:53,0
SBA,9/27/2017 10:53,0
SBA,9/27/2017 11:53,0
SBA,9/27/2017 12:53,0
SBA,9/27/2017 13:53,0
SBA,9/27/2017 14:53,0
SBA,9/27/2017 15:53,0
SBA,9/27/2017 16:53,0
SBA,9/27/2017 17:53,0
SBA,9/27/2017 18:53,0
SBA,9/27/2017 19:53,0
SBA,9/27/2017 20:53,0
SBA,9/27/2017 21:53,0
SBA,9/27/2017 22:53,0
SBA,9/27/2017 23:53,0
SBA,9/28/2017 0:25,0
SBA,9/28/2017 0:33,0
SBA,9/28/2017 0:53,0
SBA,9/28/2017 1:53,0
SBA,9/28/2017 2:53,0
SBA,9/28/2017 3:53,0
SBA,9/28/2017 4:53,0
SBA,9/28/2017 5:53,0
SBA,9/28/2017 6:53,0
SBA,9/28/2017 7:41,0
SBA,9/28/2017 7:53,0
SBA,9/28/2017 8:53,0
SBA,9/28/2017 9:05,0
SBA,9/28/2017 9:30,0
SBA,9/28/2017 9:53,0
SBA,9/28/2017 9:57,0
SBA,9/28/2017 10:16,0
SBA,9/28/2017 10:24,0
SBA,9/28/2017 10:53,0
SBA,9/28/2017 11:53,0
SBA,9/28/2017 12:53,0
SBA,9/28/2017 13:53,0
SBA,9/28/2017 14:53,0
SBA,9/28/2017 15:53,0
SBA,9/28/2017 16:53,0
SBA,9/28/2017 17:53,0
SBA,9/28/2017 18:53,0
SBA,9/28/2017 19:53,0
SBA,9/28/2017 20:53,0
SBA,9/28/2017 21:53,0
SBA,9/28/2017 22:53,0
SBA,9/28/2017 23:53,0
SBA,9/29/2017 0:53,0
SBA,9/29/2017 1:53,0
SBA,9/29/2017 2:53,0
SBA,9/29/2017 3:53,0
SBA,9/29/2017 4:53,0
SBA,9/29/2017 5:53,0
SBA,9/29/2017 6:53,0
SBA,9/29/2017 7:53,0
SBA,9/29/2017 8:53,0
SBA,9/29/2017 9:53,0
SBA,9/29/2017 10:53,0
SBA,9/29/2017 11:53,0
SBA,9/29/2017 12:53,0
SBA,9/29/2017 13:53,0
SBA,9/29/2017 14:53,0
SBA,9/29/2017 15:53,0
SBA,9/29/2017 16:53,0
SBA,9/29/2017 17:53,0
SBA,9/29/2017 18:53,0
SBA,9/29/2017 19:53,0
SBA,9/29/2017 20:53,0
SBA,9/29/2017 21:53,0
SBA,9/29/2017 22:53,0
SBA,9/29/2017 23:53,0
SBA,9/30/2017 0:53,0
SBA,9/30/2017 1:53,0
SBA,9/30/2017 2:53,0
SBA,9/30/2017 3:53,0
SBA,9/30/2017 4:53,0
SBA,9/30/2017 5:53,0
SBA,9/30/2017 6:53,0
SBA,9/30/2017 7:53,0
SBA,9/30/2017 8:53,0
SBA,9/30/2017 9:53,0
SBA,9/30/2017 10:53,0
SBA,9/30/2017 11:53,0
SBA,9/30/2017 12:53,0
SBA,9/30/2017 13:53,0
SBA,9/30/2017 14:53,0
SBA,9/30/2017 15:53,0
SBA,9/30/2017 16:53,0
SBA,9/30/2017 17:53,0
SBA,9/30/2017 18:53,0
SBA,9/30/2017 19:53,0
SBA,9/30/2017 20:53,0
SBA,9/30/2017 21:53,0
SBA,9/30/2017 22:53,0
SBA,9/30/2017 23:53,0
SBA,10/1/2017 0:53,0
SBA,10/1/2017 1:53,0
SBA,10/1/2017 2:53,0
SBA,10/1/2017 3:53,0
SBA,10/1/2017 4:53,0
SBA,10/1/2017 5:53,0
